City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,Vanimo,-2.6741,141.3028,77.59,87,99,3.85,PG,2022-09-30 18:20:23
237,Tukrah,32.5341,20.5791,90.54,35,35,4.76,LY,2022-09-30 18:20:23
238,Pecos,31.4229,-103.4932,83.23,20,24,10.31,US,2022-09-30 18:15:46
239,Ayr,55.4627,-4.6339,55.38,82,40,13.8,GB,2022-09-30 18:15:58
240,Igarka,67.4667,86.5833,31.51,87,100,9.37,RU,2022-09-30 18:20:24
241,Kirakira,-10.4544,161.9205,78.69,86,34,6.22,SB,2022-09-30 18:20:24
242,Itupiranga,-5.1347,-49.3267,102.52,32,60,2.66,BR,2022-09-30 18:20:25
243,Straumen,63.8709,11.2999,51.8,66,17,9.17,NO,2022-09-30 18:20:25
244,Jaguarari,-10.2639,-40.1958,89.49,19,74,12.39,BR,2022-09-30 18:20:25
245,Olovyannaya,50.95,115.5667,38.61,84,78,6.98,RU,2022-09-30 18:20:26
246,Singapore,1.2897,103.8501,80.55,88,75,3.44,SG,2022-09-30 18:17:19
247,Nyurba,63.2842,118.3319,24.58,75,94,3.09,RU,2022-09-30 18:20:27
248,Dunedin,-45.8742,170.5036,39.79,79,4,4.45,NZ,2022-09-30 18:20:28
249,Lahij,13.1667,44.5833,87.08,43,15,5.37,YE,2022-09-30 18:20:28
250,Iquique,-20.2208,-70.1431,60.84,67,4,6.46,CL,2022-09-30 18:20:29
251,Faya,18.3851,42.4509,64.51,51,8,4.29,SA,2022-09-30 18:20:29
252,Saint-Augustin,51.226,-58.6502,61.68,46,10,19.1,CA,2022-09-30 18:20:30
253,Ihosy,-22.4,46.1167,65.61,56,0,5.61,MG,2022-09-30 18:20:30
254,Halifax,44.6453,-63.5724,64.29,74,9,8.01,CA,2022-09-30 18:19:00
255,Pangody,65.85,74.4859,29.19,84,93,6.98,RU,2022-09-30 18:20:31
256,Sandnessjoen,66.0217,12.6316,50.41,58,0,5.75,NO,2022-09-30 18:20:32
257,La Ronge,55.1001,-105.2842,50.25,71,100,12.66,CA,2022-09-30 18:20:32
258,Poole,50.7167,-2.0,60.66,93,75,17.27,GB,2022-09-30 18:20:33
259,Dhidhdhoo,6.8833,73.1,80.73,80,100,22.97,MV,2022-09-30 18:20:33
260,Necochea,-38.5473,-58.7368,65.89,43,38,7.92,AR,2022-09-30 18:20:33
261,Tazmalt,36.3868,4.3989,66.83,69,95,6.29,DZ,2022-09-30 18:20:34
262,Santo Domingo,18.5001,-69.9886,87.44,72,75,11.5,DO,2022-09-30 18:16:44
263,Anadyr,64.75,177.4833,34.3,86,75,8.95,RU,2022-09-30 18:20:35
264,Chaman,30.9236,66.4512,75.02,13,0,5.88,PK,2022-09-30 18:20:35
265,Panlaitan,12.1191,119.8486,81.14,80,95,7.67,PH,2022-09-30 18:20:35
266,Seoul,37.5683,126.9778,60.24,100,0,3.44,KR,2022-09-30 18:20:36
267,Te Anau,-45.4167,167.7167,31.51,96,25,1.3,NZ,2022-09-30 18:20:36
268,Amazar,53.858,120.875,31.17,94,75,2.13,RU,2022-09-30 18:20:36
269,Yuncheng,35.0231,110.9928,68.63,83,89,6.06,CN,2022-09-30 18:18:57
270,Nkowakowa,-23.8878,30.2871,75.02,35,0,0.78,ZA,2022-09-30 18:21:37
271,Dongsheng,39.8161,109.9776,64.42,43,100,6.82,CN,2022-09-30 18:16:48
272,Tahe,52.3333,124.7333,28.65,91,7,2.42,CN,2022-09-30 18:21:37
273,Miraflores,19.2167,-98.8083,70.97,44,45,4.72,MX,2022-09-30 18:21:38
274,Deming,32.2687,-107.7586,73.29,33,0,8.05,US,2022-09-30 18:21:39
275,Hambantota,6.1241,81.1185,79.29,83,99,18.68,LK,2022-09-30 18:21:39
276,Gorontalo,0.5412,123.0595,74.37,95,73,2.13,ID,2022-09-30 18:21:40
277,Camopi,3.1655,-52.3158,95.09,33,71,3.38,GF,2022-09-30 18:21:40
278,Saskylakh,71.9167,114.0833,21.99,94,91,4.12,RU,2022-09-30 18:21:41
279,Mogadishu,2.0371,45.3438,77.97,78,11,12.97,SO,2022-09-30 18:17:00
280,Kankon,15.0167,74.0167,76.8,90,100,3.87,IN,2022-09-30 18:21:41
281,Omboue,-1.5746,9.2618,76.84,83,85,7.36,GA,2022-09-30 18:21:42
282,Eyl,7.9803,49.8164,77.31,81,3,20.51,SO,2022-09-30 18:21:42
283,Ouadda,8.0777,22.4007,70.9,90,96,1.99,CF,2022-09-30 18:21:43
284,Paamiut,61.994,-49.6678,37.33,72,96,6.33,GL,2022-09-30 18:21:43
285,Shaowu,27.3409,117.4831,76.15,64,1,2.39,CN,2022-09-30 18:21:44
286,Porto Novo,6.4965,2.6036,78.62,91,95,4.85,BJ,2022-09-30 18:21:44
287,Kendari,-3.945,122.4989,76.21,89,98,1.61,ID,2022-09-30 18:21:45
288,Ukiah,39.1502,-123.2078,85.66,41,0,3.44,US,2022-09-30 18:21:45
289,Port Elizabeth,-33.918,25.5701,64.69,94,20,9.22,ZA,2022-09-30 18:21:46
290,Kuusamo,65.9667,29.1833,35.64,93,100,3.44,FI,2022-09-30 18:21:46
291,Kamenka,51.3223,42.7678,59.07,70,71,6.91,RU,2022-09-30 18:21:46
292,Mananara,-16.1667,49.7667,64.87,85,0,4.21,MG,2022-09-30 18:21:47
293,Satipo,-11.2522,-74.6386,69.64,94,100,1.88,PE,2022-09-30 18:21:47
294,Provideniya,64.3833,-173.3,34.97,71,58,12.35,RU,2022-09-30 18:21:47
295,Tuktoyaktuk,69.4541,-133.0374,30.2,100,100,14.97,CA,2022-09-30 18:21:48
