,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Vila Do Maio,CV,84.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
519,Mizdah,LY,83.43,scattered clouds,31.4451,12.9801,محمدالمبروك الاريقط
522,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
526,Vallenar,CL,77.88,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
527,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
528,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
532,Mogadishu,SO,77.29,few clouds,2.0371,45.3438,Hotel Juba
533,Iracoubo,GF,85.62,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
537,Kisangani,CD,79.54,overcast clouds,0.5167,25.2,Grand Ramela Hotel
538,Iberia,US,81.05,clear sky,29.9502,-91.7507,back to back rv park
539,Freetown,SL,76.71,thunderstorm,8.484,-13.2299,The Country Lodge Hotel
542,Cozumel,MX,87.87,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
544,Miragoane,HT,86.29,overcast clouds,18.4423,-73.0876,Wj hotel
545,Belmonte,BR,77.56,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
555,Kolondieba,ML,82.81,light rain,11.0882,-6.8926,Park
558,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
559,Adamas,GR,76.59,scattered clouds,36.7333,24.4333,Aphrodite of Milos
561,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
565,Pozo Colorado,PY,85.33,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
566,Benjamin Constant,BR,84.33,broken clouds,-4.3831,-70.0311,CASA AVALIADA
567,Benghazi,LY,86.72,clear sky,32.1167,20.0667,Tibesti Hotel
572,Maxixe,MZ,75.02,few clouds,-23.8597,35.3472,Oceano
575,Perumpavur,IN,78.71,mist,10.1333,76.4833,Hotel Travellers Inn
577,Moroni,KM,75.22,few clouds,-11.7022,43.2551,Hotel Les Arcades
580,Behbahan,IR,87.04,clear sky,30.5959,50.2417,فروشگاه ابوعلی
581,Banes,CU,88.57,clear sky,20.9625,-75.7186,Hostal Iván y yailet
582,Capim Grosso,BR,85.59,broken clouds,-11.3811,-40.0128,Hotel Veloso
590,Yenagoa,NG,78.26,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
591,Mto Wa Mbu,TZ,78.31,scattered clouds,-3.35,35.85,Fanaka Safaris Campsite & Lodges
592,Kananga,CD,75.25,light rain,-5.8958,22.4178,Guest House Wood Land
593,Santa Cruz De La Palma,ES,75.34,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
596,Tambura,SS,76.12,overcast clouds,5.6,27.4667,Rikito Lodge
606,Farafenni,GM,85.44,light rain,13.5667,-15.6,Eddy's Hotel
607,Itigi,TZ,77.16,overcast clouds,-5.7,34.4833,SAAMBILI PUB 🍻 & LODGE
613,Acarau,BR,87.21,scattered clouds,-2.8856,-40.12,castelo pizzaria
620,Eyl,SO,77.61,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
622,Zambezi,ZM,82.94,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
626,Bushehr,IR,86.09,clear sky,28.9684,50.8385,Yas Hotel
627,Budhlada,IN,79.75,clear sky,29.9333,75.5667,Sips and Bytes-Best Restaurants in Budhlada/Best Hotels in Budhlada
629,Guanica,PR,82.9,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
630,Giyani,ZA,83.97,clear sky,-23.3025,30.7187,Kulani Country Lodge
631,Nagua,DO,84.25,broken clouds,19.3832,-69.8474,Hotel Cambri
634,Puerto Leguizamo,CO,77.13,overcast clouds,-0.1934,-74.7819,la casona de juancho
636,Sabratah,LY,78.48,overcast clouds,32.7933,12.4885,محمد علي شويه
638,Rincon,US,78.76,few clouds,32.296,-81.2354,Days Inn Rincon
639,Augusto Correa,BR,88.34,broken clouds,-1.0217,-46.635,Fazenda Bacuri
644,Ugoofaaru,MV,82.08,light rain,5.6667,73.0,Ungoofaaru Inn
645,Harper,LR,77.41,light rain,4.375,-7.7169,Screensaver
650,Antu,IN,81.03,clear sky,26.05,81.9167,Ram Govind Verma
653,Jaisalmer,IN,88.36,clear sky,26.9147,70.9181,Hotel Fifu
656,Iralaya,HN,81.9,overcast clouds,15.0,-83.2333,Iglesia morava renovada
660,Sao Jose Da Coroa Grande,BR,80.4,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
663,San Pedro,PH,81.63,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
665,Aquiraz,BR,86.09,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
666,Tumaco,CO,79.79,overcast clouds,1.7986,-78.8156,Calle nueva creación
668,Minab,IR,86.2,clear sky,27.1467,57.0801,Bam campground
669,Ondjiva,AO,88.16,few clouds,-17.0667,15.7333,COMBUESA
674,Andujar,ES,82.04,overcast clouds,38.0392,-4.0508,Hotel del Val
